Number,Street,Address,City,latitude,longitude
2942,LOCUST ST,2942  LOCUST ST,"Saint Louis Mo,",38.635471,-90.220671
3604,SALENA ST,3604  SALENA ST,"Saint Louis Mo,",38.588824,-90.220759
3443,UNION BLVD,3443  UNION BLVD,"Saint Louis Mo,",38.67851,-90.258887
3443,UNION BLVD,3443  UNION BLVD,"Saint Louis Mo,",38.67851,-90.258887
3935,MINNESOTA AVE,3935  MINNESOTA AVE,"Saint Louis Mo,",38.58483,-90.236641
4504,OLEATHA AVE,4504  OLEATHA AVE,"Saint Louis Mo,",38.595118,-90.266295
4973,EMERSON AVE,4973  EMERSON AVE,"Saint Louis Mo,",38.691795,-90.250996
3655,CALIFORNIA AVE,3655  CALIFORNIA AVE,"Saint Louis Mo,",38.589299,-90.231061
4730,SAINT LOUIS AVE,4730  SAINT LOUIS AVE,"Saint Louis Mo,",38.667828,-90.249041
4730,SAINT LOUIS AVE,4730  SAINT LOUIS AVE,"Saint Louis Mo,",38.667828,-90.249041
5146,TERRY AVE,5146  TERRY AVE,"Saint Louis Mo,",38.671932,-90.259139
5146,TERRY AVE,5146  TERRY AVE,"Saint Louis Mo,",38.671932,-90.259139
4112,PAGE BLVD,4112  PAGE BLVD,"Saint Louis Mo,",38.65089,-90.238936
4112,PAGE BLVD,4112  PAGE BLVD,"Saint Louis Mo,",38.65089,-90.238936
1629,SEMPLE AVE,1629  SEMPLE AVE,"Saint Louis Mo,",38.668749,-90.271495
4518,MINNESOTA AVE,4518  MINNESOTA AVE,"Saint Louis Mo,",38.574317,-90.238609
4518,MINNESOTA AVE,4518  MINNESOTA AVE,"Saint Louis Mo,",38.574317,-90.238609
5300,GOODFELLOW,5300  GOODFELLOW,"Saint Louis Mo,",38.705429,-90.260439
8455,EDNA ST,8455  EDNA ST,"Saint Louis Mo,",38.715079,-90.236106
1717,COCHRAN PL,1717  COCHRAN PL,"Saint Louis Mo,",38.641328,-90.199531
5014,MAPLE AVE,5014  MAPLE AVE,"Saint Louis Mo,",38.658843,-90.2629
3135,OREGON AVE,3135  OREGON AVE,"Saint Louis Mo,",38.599245,-90.230156
3642,HEBERT ST,3642  HEBERT ST,"Saint Louis Mo,",38.659508,-90.218928
4435,TENNESSEE AVE,4435  TENNESSEE AVE,"Saint Louis Mo,",38.57771,-90.245217
3018,N VANDEVENTER AVE,3018  N VANDEVENTER AVE,"Saint Louis Mo,",38.659223,-90.225776
5328,LOTUS AVE,5328  LOTUS AVE,"Saint Louis Mo,",38.669557,-90.266303
5441,PAGE BLVD,5441  PAGE BLVD,"Saint Louis Mo,",38.662797,-90.275411
6104,PAGE BLVD,6104  PAGE BLVD,"Saint Louis Mo,",38.670165,-90.289099
4102,W FLORISSANT AVE,4102  W FLORISSANT AVE,"Saint Louis Mo,",38.674151,-90.219564
4933,PLOVER AVE,4933  PLOVER AVE,"Saint Louis Mo,",38.695799,-90.255755
2735,UNIVERSITY ST,2735  UNIVERSITY ST,"Saint Louis Mo,",38.654386,-90.214787
5212,HIGHLAND AVE,5212  HIGHLAND AVE,"Saint Louis Mo,",38.670043,-90.262542
4861,NORTHLAND AVE,4861  NORTHLAND AVE,"Saint Louis Mo,",38.667658,-90.253212
1435,AMHERST TER,1435  AMHERST TER,"Saint Louis Mo,",38.67258,-90.284835
2212,BENTON ST,2212  BENTON ST,"Saint Louis Mo,",38.64894,-90.206607
4611,NATURAL BRIDGE AVE,4611  NATURAL BRIDGE AVE,"Saint Louis Mo,",38.672121,-90.241624
750,E DAVIS ST,750  E DAVIS ST,"Saint Louis Mo,",38.539595,-90.257616
3000,N BROADWAY,3000  N BROADWAY,"Saint Louis Mo,",38.655031,-90.191612
4907,FOUNTAIN AVE,4907  FOUNTAIN AVE,"Saint Louis Mo,",38.655022,-90.260285
1820,MARKET ST,1820  MARKET ST,"Saint Louis Mo,",38.627639,-90.208198
1820,MARKET ST,1820  MARKET ST,"Saint Louis Mo,",38.627639,-90.208198
1820,MARKET ST,1820  MARKET ST,"Saint Louis Mo,",38.627639,-90.208198
7427,S BROADWAY,7427  S BROADWAY,"Saint Louis Mo,",38.548697,-90.256592
1206,N KINGSHIGHWAY BLVD,1206  N KINGSHIGHWAY BLVD,"Saint Louis Mo,",38.658105,-90.262284
3304,S COMPTON AVE,3304  S COMPTON AVE,"Saint Louis Mo,",38.596297,-90.236429
4002,PENNSYLVANIA AVE,4002  PENNSYLVANIA AVE,"Saint Louis Mo,",38.583359,-90.235563
4002,PENNSYLVANIA AVE,4002  PENNSYLVANIA AVE,"Saint Louis Mo,",38.583359,-90.235563
1136,WALTON AVE,1136  WALTON AVE,"Saint Louis Mo,",38.65633,-90.25658
3336,ARLINGTON AVE,3336  ARLINGTON AVE,"Saint Louis Mo,",38.678291,-90.262721
3336,ARLINGTON AVE,3336  ARLINGTON AVE,"Saint Louis Mo,",38.678291,-90.262721
2200,ALBERTA ST,2200  ALBERTA ST,"Saint Louis Mo,",38.583081,-90.22539
4141,SAINT LOUIS AVE,4141  SAINT LOUIS AVE,"Saint Louis Mo,",38.651644,-90.196495
7320,VERMONT AVE,7320  VERMONT AVE,"Saint Louis Mo,",38.5527,-90.260132
4730,NEWBERRY TER,4730  NEWBERRY TER,"Saint Louis Mo,",38.655875,-90.255398
2725,MARCUS AVE,2725  MARCUS AVE,"Saint Louis Mo,",38.666151,-90.249342
5507,LABADIE AVE,5507  LABADIE AVE,"Saint Louis Mo,",38.661126,-90.230737
2000,MARKET ST,2000  MARKET ST,"Saint Louis Mo,",38.629825,-90.209302
2000,MARKET ST,2000  MARKET ST,"Saint Louis Mo,",38.629825,-90.209302
2712,GEYER AVE,2712  GEYER AVE,"Saint Louis Mo,",38.613189,-90.224067
3852,KENNERLY AVE,3852  KENNERLY AVE,"Saint Louis Mo,",38.656064,-90.226698
3700,KOSCIUSKO ST,3700  KOSCIUSKO ST,"Saint Louis Mo,",38.58594,-90.218419
4562,ADELAIDE AVE,4562  ADELAIDE AVE,"Saint Louis Mo,",38.674113,-90.221295
1900,MALLINCKRODT ST,1900  MALLINCKRODT ST,"Saint Louis Mo,",38.659537,-90.201053
1627,COLE ST,1627  COLE ST,"Saint Louis Mo,",38.636606,-90.201061
720,UNION BLVD,720  UNION BLVD,"Saint Louis Mo,",38.653515,-90.273099
1515,NEWHOUSE AVE,1515  NEWHOUSE AVE,"Saint Louis Mo,",38.664777,-90.202485
4673,MARGARETTA AVE,4673  MARGARETTA AVE,"Saint Louis Mo,",38.680619,-90.254507
2839,S JEFFERSON AVE,2839  S JEFFERSON AVE,"Saint Louis Mo,",38.602268,-90.223678
840,WALL ST,840  WALL ST,"Saint Louis Mo,",38.719278,-90.23055
840,WALL ST,840  WALL ST,"Saint Louis Mo,",38.719278,-90.23055
8606,CHURCH RD,8606  CHURCH RD,"Saint Louis Mo,",38.717152,-90.233095
5028,COTE BRILLIANTE AVE,5028  COTE BRILLIANTE AVE,"Saint Louis Mo,",38.665566,-90.260281
