Number,Address,Address,City,latitude,longitude
1530,N 20TH ST,1530 N 20TH ST,"Saint Louis Mo,",38.643759,-90.205045
5731,DR MARTIN LUTHER KIN,5731 DR MARTIN LUTHER KIN,"Saint Louis Mo,",39.78373,-90.27303
3838,LOUISIANA AVE,3838 LOUISIANA AVE,"Saint Louis Mo,",38.586714,-90.240744
7039,MITCHELL AVE,7039 MITCHELL AVE,"Saint Louis Mo,",38.623222,-90.310465
7039,MITCHELL AVE,7039 MITCHELL AVE,"Saint Louis Mo,",38.623222,-90.310465
3224,JANUARY AVE,3224 JANUARY AVE,"Saint Louis Mo,",38.603741,-90.287194
3224,JANUARY AVE,3224 JANUARY AVE,"Saint Louis Mo,",38.603741,-90.287194
3224,JANUARY AVE,3224 JANUARY AVE,"Saint Louis Mo,",38.603741,-90.287194
3224,JANUARY AVE,3224 JANUARY AVE,"Saint Louis Mo,",38.603741,-90.287194
5467,QUEENS AVE,5467 QUEENS AVE,"Saint Louis Mo,",38.691972,-90.23818
5074,GENEVIEVE AVE,5074 GENEVIEVE AVE,"Saint Louis Mo,",38.69546,-90.251871
6250,FAMOUS AVE,6250 FAMOUS AVE,"Saint Louis Mo,",38.619423,-90.291338
6250,FAMOUS AVE,6250 FAMOUS AVE,"Saint Louis Mo,",38.619423,-90.291338
2049,E JOHN AVE,2049 E JOHN AVE,"Saint Louis Mo,",38.671589,-90.210637
2022,E JOHN AVE,2022 E JOHN AVE,"Saint Louis Mo,",38.671639,-90.210168
2835,PENNSYLVANIA AVE,2835 PENNSYLVANIA AVE,"Saint Louis Mo,",38.604177,-90.231498
1224,N 15TH ST,1224 N 15TH ST,"Saint Louis Mo,",38.638479,-90.198363
5916,NATURAL BRIDGE AVE,5916 NATURAL BRIDGE AVE,"Saint Louis Mo,",38.687227,-90.273067
5909,LALITE AVE,5909 LALITE AVE,"Saint Louis Mo,",38.701545,-90.256445
2835,PENNSYLVANIA AVE,2835 PENNSYLVANIA AVE,"Saint Louis Mo,",38.604177,-90.231498
3325,MIAMI ST,3325 MIAMI ST,"Saint Louis Mo,",38.591394,-90.239098
3325,MIAMI ST,3325 MIAMI ST,"Saint Louis Mo,",38.591394,-90.239098
5151,HIGHLAND AVE,5151 HIGHLAND AVE,"Saint Louis Mo,",38.669586,-90.261075
3801,LABADIE AVE,3801 LABADIE AVE,"Saint Louis Mo,",38.658188,-90.223774
5117,HIGHLAND,5117 HIGHLAND,"Saint Louis Mo,",38.59683,-90.556232
3900,N GARRISON AVE,3900 N GARRISON AVE,"Saint Louis Mo,",38.638047,-90.220928
4829,KOSSUTH AVE,4829 KOSSUTH AVE,"Saint Louis Mo,",38.678086,-90.244024
4525,MARY AVE,4525 MARY AVE,"Saint Louis Mo,",38.673053,-90.219441
5476,GENEVIEVE AVE,5476 GENEVIEVE AVE,"Saint Louis Mo,",38.698634,-90.246071
5545,BARTMER AVE,5545 BARTMER AVE,"Saint Louis Mo,",38.662353,-90.27852
