Number,Street,Address,City,latitude ,longitude
201,CARR ST,201 CARR ST,"Saint Louis MO,",38.634192,-90.183989
3404,CHIPPEWA ST,3404 CHIPPEWA ST,"Saint Louis MO,",38.587777,-90.240896
5841,CABANNE AVE,5841 CABANNE AVE,"Saint Louis MO,",38.659102,-90.287586
5841,CABANNE AVE,5841 CABANNE AVE,"Saint Louis MO,",38.659102,-90.287586
2930,SULLIVAN AVE,2930 SULLIVAN AVE,"Saint Louis MO,",38.656809,-90.215513
733,THRUSH AVE,733 THRUSH AVE,"Saint Louis MO,",38.709888,-90.229046
6055,W FLORISSANT AVE,6055 W FLORISSANT AVE,"Saint Louis MO,",38.710293,-90.252414
1912,WARREN ST,1912 WARREN ST,"Saint Louis MO,",38.64882,-90.201957
7318,VERMONT AVE,7318 VERMONT AVE,"Saint Louis MO,",38.552716,-90.260113
6201,MICHIGAN AVE,6201 MICHIGAN AVE,"Saint Louis MO,",38.559419,-90.249342
1949,HODIAMONT AVE,1949 HODIAMONT AVE,"Saint Louis MO,",38.677564,-90.283649
10549,RIVERVIEW DR,10549 RIVERVIEW DR,"Saint Louis MO,",38.757052,-90.187498
10549,RIVERVIEW DR,10549 RIVERVIEW DR,"Saint Louis MO,",38.757052,-90.187498
4450,MINNESOTA AVE,4450 MINNESOTA AVE,"Saint Louis MO,",38.575492,-90.238376
5420,N KINGSHIGHWAY BLVD,5420 N KINGSHIGHWAY BLVD,"Saint Louis MO,",38.69013,-90.238297
1444,N KINGSHIGHWAY BLVD,1444 N KINGSHIGHWAY BLVD,"Saint Louis MO,",38.662097,-90.26159
3620,SALENA ST,3620 SALENA ST,"Saint Louis MO,",38.588571,-90.220808
0,UNKNOWN,0 UNKNOWN,"Saint Louis MO,",38.6270025,-90.1994042
5038,PAGE BLVD,5038 PAGE BLVD,"Saint Louis MO,",38.659943,-90.263545
8713,RIVERVIEW BLVD,8713 RIVERVIEW BLVD,"Saint Louis MO,",38.716513,-90.241446
8713,RIVERVIEW BLVD,8713 RIVERVIEW BLVD,"Saint Louis MO,",38.716513,-90.241446
2811,MIAMI ST,2811 MIAMI ST,"Saint Louis MO,",38.590389,-90.231104
4050,DELMAR BLVD,4050 DELMAR BLVD,"Saint Louis MO,",38.652493,-90.272684
4020,GLASGOW AVE,4020 GLASGOW AVE,"Saint Louis MO,",38.662109,-90.211299
2425,N SPRING AVE,2425 N SPRING AVE,"Saint Louis MO,",38.652488,-90.225419
2708,BLAIR AVE,2708 BLAIR AVE,"Saint Louis MO,",38.650307,-90.198423
4429,ST FERDINAND AVE,4429 ST FERDINAND AVE,"Saint Louis MO,",38.661118,-90.243584
5885,SAINT LOUIS AVE,5885 SAINT LOUIS AVE,"Saint Louis MO,",38.679775,-90.273746
4232,N 19TH ST,4232 N 19TH ST,"Saint Louis MO,",38.637841,-90.204855
4341,WARNE,4341 WARNE,"Saint Louis MO,",38.672337,-90.219159
7200,MICHIGAN AVE,7200 MICHIGAN AVE,"Saint Louis MO,",38.55208,-90.257527
430,ADELAIDE AVE,430 ADELAIDE AVE,"Saint Louis MO,",38.681164,-90.20796
1724,N 20TH ST,1724 N 20TH ST,"Saint Louis MO,",38.645542,-90.204551
0,E GRAND AVE / I 70 EASTBOUND,0 E GRAND AVE / I 70 EASTBOUND,"Saint Louis MO,",38.6270025,-90.1994042
4235,OBEAR AVE,4235 OBEAR AVE,"Saint Louis MO,",38.667749,-90.213654
1249,GOODFELLOW BLVD,1249 GOODFELLOW BLVD,"Saint Louis MO,",38.665277,-90.284431
1249,GOODFELLOW BLVD,1249 GOODFELLOW BLVD,"Saint Louis MO,",38.665277,-90.284431
2654,GRAVOIS AVE,2654 GRAVOIS AVE,"Saint Louis MO,",38.604047,-90.224783
1201,N SKINKER PKWY,1201 N SKINKER PKWY,"Saint Louis MO,",38.6634004,-90.294333
8649,RIVERVIEW BLVD,8649 RIVERVIEW BLVD,"Saint Louis MO,",38.71555,-90.241617
1233,BRISTOL LN,1233 BRISTOL LN,"Saint Louis MO,",38.8144937,-90.3415979
2850,N EUCLID AVE,2850 N EUCLID AVE,"Saint Louis MO,",38.669932,-90.252806
4042,COTE BRILLIANTE AVE,4042 COTE BRILLIANTE AVE,"Saint Louis MO,",38.653611,-90.234306
4042,COTE BRILLIANTE AVE,4042 COTE BRILLIANTE AVE,"Saint Louis MO,",38.653611,-90.234306
1530,S 7TH ST,1530 S 7TH ST,"Saint Louis MO,",38.612102,-90.197934
3471,MONTANA ST,3471 MONTANA ST,"Saint Louis MO,",38.583569,-90.242648
2,S 4TH ST,2 S 4TH ST,"Saint Louis MO,",38.624963,-90.188783
2,S 4TH ST,2 S 4TH ST,"Saint Louis MO,",38.624963,-90.188783
999,CLARK AVE,999 CLARK AVE,"Saint Louis MO,",38.624579,-90.196224
4575,ALICE AVE,4575 ALICE AVE,"Saint Louis MO,",38.673733,-90.220147
5517,THRUSH AVE,5517 THRUSH AVE,"Saint Louis MO,",38.700059,-90.245823
1333,PRAIRIE AVE,1333 PRAIRIE AVE,"Saint Louis MO,",38.674723,-90.208469
5056,CLAXTON AVE,5056 CLAXTON AVE,"Saint Louis MO,",38.691811,-90.246654
5652,LILLIAN AVE,5652 LILLIAN AVE,"Saint Louis MO,",38.697203,-90.254377
5702,SALOMA AVE,5702 SALOMA AVE,"Saint Louis MO,",38.696995,-90.25585
2900,HEBERT ST,2900 HEBERT ST,"Saint Louis MO,",38.657667,-90.214743
5122,GOODFELLOW BLVD,5122 GOODFELLOW BLVD,"Saint Louis MO,",38.703564,-90.261794
4914,BEACON AVE,4914 BEACON AVE,"Saint Louis MO,",38.693628,-90.253226
3507,PENNSYLVANIA AVE,3507 PENNSYLVANIA AVE,"Saint Louis MO,",38.59227,-90.233955
5028,QUEENS AVE,5028 QUEENS AVE,"Saint Louis MO,",38.68758,-90.244914
2747,GOODFELLOW BLVD,2747 GOODFELLOW BLVD,"Saint Louis MO,",38.677805,-90.275591
1518,LINTON AVE,1518 LINTON AVE,"Saint Louis MO,",38.675544,-90.211061
1205,HAMPTON AVE,1205 HAMPTON AVE,"Saint Louis MO,",38.62827,-90.287452
4178,SHAW BLVD,4178 SHAW BLVD,"Saint Louis MO,",38.616268,-90.252867
4178,SHAW BLVD,4178 SHAW BLVD,"Saint Louis MO,",38.616268,-90.252867
5747,GOODFELLOW PL,5747 GOODFELLOW PL,"Saint Louis MO,",38.681696,-90.272143
5248,MINERVA AVE,5248 MINERVA AVE,"Saint Louis MO,",38.661849,-90.269658
