Number,Street,Address,City,latitude,longitude
4945,THEODORE AVE,4945 THEODORE AVE,"Saint Louis Mo,",38.687245,-90.241294
4945,THEODORE AVE,4945 THEODORE AVE,"Saint Louis Mo,",38.687245,-90.241294
5525,ASHLAND AVE,5525 ASHLAND AVE,"Saint Louis Mo,",38.679747,-90.266251
3946,NATURAL BRIDGE AVE,3946 NATURAL BRIDGE AVE,"Saint Louis Mo,",38.676299,-90.25172
4030,PECK ST,4030 PECK ST,"Saint Louis Mo,",38.663618,-90.213557
3480,MORGANFORD RD,3480 MORGANFORD RD,"Saint Louis Mo,",38.595112,-90.262429
4706,HIGHLAND AVE,4706 HIGHLAND AVE,"Saint Louis Mo,",38.664754,-90.2504
1339,GRAHAM ST,1339 GRAHAM ST,"Saint Louis Mo,",38.626121,-90.291547
3832,BLAINE AVE,3832 BLAINE AVE,"Saint Louis Mo,",38.619298,-90.243406
1520,SALISBURY ST,1520 SALISBURY ST,"Saint Louis Mo,",38.660824,-90.200336
1520,SALISBURY ST,1520 SALISBURY ST,"Saint Louis Mo,",38.660824,-90.200336
4350,SEMPLE AVE,4350 SEMPLE AVE,"Saint Louis Mo,",38.688564,-90.257189
4350,SEMPLE AVE,4350 SEMPLE AVE,"Saint Louis Mo,",38.688564,-90.257189
4350,SEMPLE AVE,4350 SEMPLE AVE,"Saint Louis Mo,",38.688564,-90.257189
3638,HEBERT ST,3638 HEBERT ST,"Saint Louis Mo,",38.659481,-90.218865
1702,N TAYLOR AVE,1702 N TAYLOR AVE,"Saint Louis Mo,",38.658694,-90.247311
8421,CHURCH RD,8421 CHURCH RD,"Saint Louis Mo,",38.713943,-90.233161
1450,N MARKET ST,1450 N MARKET ST,"Saint Louis Mo,",38.647628,-90.197617
4325,COLLEGE AVE,4325 COLLEGE AVE,"Saint Louis Mo,",38.671654,-90.218288
5218,NAGEL AVE,5218 NAGEL AVE,"Saint Louis Mo,",38.569948,-90.290393
1430,SEMPLE AVE,1430 SEMPLE AVE,"Saint Louis Mo,",38.665607,-90.27297
5146,MAFFITT AVE,5146 MAFFITT AVE,"Saint Louis Mo,",38.671116,-90.259869
5835,SELBER CT,5835 SELBER CT,"Saint Louis Mo,",38.683906,-90.273138
805,EICHELBERGER ST,805 EICHELBERGER ST,"Saint Louis Mo,",38.568368,-90.24865
8815,N BROADWAY,8815 N BROADWAY,"Saint Louis Mo,",38.724166,-90.228407
5955,GOODFELLOW BLVD,5955 GOODFELLOW BLVD,"Saint Louis Mo,",38.714924,-90.253804
2425,HADLEY ST,2425 HADLEY ST,"Saint Louis Mo,",38.64913,-90.193971
917,WARREN ST,917 WARREN ST,"Saint Louis Mo,",38.651433,-90.191707
4431,ATHLONE AVE,4431 ATHLONE AVE,"Saint Louis Mo,",38.676177,-90.226933
4127,OBEAR AVE,4127 OBEAR AVE,"Saint Louis Mo,",38.666043,-90.215233
4675,NATURAL BRIDGE AVE,4675 NATURAL BRIDGE AVE,"Saint Louis Mo,",38.672805,-90.243371
2600,N 14TH ST,2600 N 14TH ST,"Saint Louis Mo,",38.649869,-90.196852
3815,PENNSYLVANIA AVE,3815 PENNSYLVANIA AVE,"Saint Louis Mo,",38.586549,-90.235121
3815,PENNSYLVANIA AVE,3815 PENNSYLVANIA AVE,"Saint Louis Mo,",38.586549,-90.235121
3707,MINNESOTA AVE,3707 MINNESOTA AVE,"Saint Louis Mo,",38.588835,-90.235826
3546,NEBRASKA AVE,3546 NEBRASKA AVE,"Saint Louis Mo,",38.591471,-90.232741
5201,DEWEY AVE,5201 DEWEY AVE,"Saint Louis Mo,",38.573156,-90.255173
1383,CLARA AVE,1383 CLARA AVE,"Saint Louis Mo,",38.667136,-90.278203
6027,FLORISSANT,6027 FLORISSANT,"Saint Louis Mo,",38.789217,-90.322614
 ,1ST MULLANPHY,  1ST MULLANPHY,"Saint Louis Mo,",38.64286,-90.194842
 ,1ST MULLANPHY,  1ST MULLANPHY,"Saint Louis Mo,",38.64286,-90.194842
3115,GRAVOIS AVE,3115 GRAVOIS AVE,"Saint Louis Mo,",38.599163,-90.235072
3800,LEE AVE,3800 LEE AVE,"Saint Louis Mo,",38.677389,-90.240247
3816,S COMPTON AVE,3816 S COMPTON AVE,"Saint Louis Mo,",38.58694,-90.238346
4332,LEE AVE,4332 LEE AVE,"Saint Louis Mo,",38.673679,-90.231256
4904,N EUCLID AVE,4904 N EUCLID AVE,"Saint Louis Mo,",38.68538,-90.241412
3050,OLIVE ST,3050 OLIVE ST,"Saint Louis Mo,",38.634737,-90.22217
5242,PALM ST,5242 PALM ST,"Saint Louis Mo,",38.677738,-90.257678
5064,EMERSON AVE,5064 EMERSON AVE,"Saint Louis Mo,",38.693403,-90.247701
5309,MICHIGAN AVE,5309 MICHIGAN AVE,"Saint Louis Mo,",38.56592,-90.243331
4925,BEACON AVE,4925 BEACON AVE,"Saint Louis Mo,",38.693825,-90.253234
5340,HARNEY AVE,5340 HARNEY AVE,"Saint Louis Mo,",38.694321,-90.242889
2738,BURD AVE,2738 BURD AVE,"Saint Louis Mo,",38.675762,-90.269756
1101,HODIAMONT AVE,1101 HODIAMONT AVE,"Saint Louis Mo,",38.6637,-90.293712
5818,LILLIAN AVE,5818 LILLIAN AVE,"Saint Louis Mo,",38.698788,-90.257504
205,N 9TH ST,205 N 9TH ST,"Saint Louis Mo,",38.785841,-90.491577
3851,SHERMAN PL,3851 SHERMAN PL,"Saint Louis Mo,",38.667838,-90.219498
3851,SHERMAN PL,3851 SHERMAN PL,"Saint Louis Mo,",38.667838,-90.219498
1267,HODIAMONT AVE,1267 HODIAMONT AVE,"Saint Louis Mo,",38.668929,-90.289912
5601,HIGHLAND,5601 HIGHLAND,"Saint Louis Mo,",38.59683,-90.556232
2807,S JEFFERSON AVE,2807 S JEFFERSON AVE,"Saint Louis Mo,",38.602868,-90.223552
2807,S JEFFERSON AVE,2807 S JEFFERSON AVE,"Saint Louis Mo,",38.602868,-90.223552
3221,POTOMAC,3221 POTOMAC,"Saint Louis Mo,",38.593018,-90.23754
1300,OHIO AVE,1300 OHIO AVE,"Saint Louis Mo,",38.620118,-90.221651
2245,HEBERT ST,2245 HEBERT ST,"Saint Louis Mo,",38.655552,-90.204857
2008,MADISON ST,2008 MADISON ST,"Saint Louis Mo,",38.646214,-90.204783
4349,LEE AVE,4349 LEE AVE,"Saint Louis Mo,",38.674013,-90.231592
3128,UTAH ST,3128 UTAH ST,"Saint Louis Mo,",38.596247,-90.235197
4435,CLARENCE AVE,4435 CLARENCE AVE,"Saint Louis Mo,",38.677635,-90.228814
3920,LEXINGTON AVE,3920 LEXINGTON AVE,"Saint Louis Mo,",38.662503,-90.224302
4764,LOUISIANA AVE,4764 LOUISIANA AVE,"Saint Louis Mo,",38.57278,-90.247627
4202,HARRIS AVE,4202 HARRIS AVE,"Saint Louis Mo,",38.672755,-90.226444
4202,HARRIS AVE,4202 HARRIS AVE,"Saint Louis Mo,",38.672755,-90.226444
2033,GANO AVE,2033 GANO AVE,"Saint Louis Mo,",38.666423,-90.21672
5127,HIGHLAND AVE,5127 HIGHLAND AVE,"Saint Louis Mo,",38.669359,-90.260557
4004,MAFFITT AVE,4004 MAFFITT AVE,"Saint Louis Mo,",38.658345,-90.229895
4151,BLAINE AVE,4151 BLAINE AVE,"Saint Louis Mo,",38.620193,-90.251495
3000,N VANDEVENTER AVE,3000 N VANDEVENTER AVE,"Saint Louis Mo,",38.659129,-90.225843
4766,LEDUC ST,4766 LEDUC ST,"Saint Louis Mo,",38.663251,-90.253503
5141,LEXINGTON AVE,5141 LEXINGTON AVE,"Saint Louis Mo,",38.67617,-90.255922
4548,QUEENS AVE,4548 QUEENS AVE,"Saint Louis Mo,",38.687047,-90.245903
3024,POTOMAC ST,3024 POTOMAC ST,"Saint Louis Mo,",38.592436,-90.234179
4400,FARLIN AVE,4400 FARLIN AVE,"Saint Louis Mo,",38.672645,-90.234494
4400,FARLIN AVE,4400 FARLIN AVE,"Saint Louis Mo,",38.672645,-90.234494
1514,MALLINCKRODT ST,1514 MALLINCKRODT ST,"Saint Louis Mo,",38.659888,-90.199996
5115,S BROADWAY,5115 S BROADWAY,"Saint Louis Mo,",38.566019,-90.239156
4164,PLEASANT ST,4164 PLEASANT ST,"Saint Louis Mo,",38.665198,-90.211193
4747,MCMILLAN AVE,4747 MCMILLAN AVE,"Saint Louis Mo,",38.654051,-90.256736
5125,GREER AVE,5125 GREER AVE,"Saint Louis Mo,",38.680086,-90.269502
5401,LOUISIANA AVE,5401 LOUISIANA AVE,"Saint Louis Mo,",38.569252,-90.250828
4046,W BELLE PL,4046 W BELLE PL,"Saint Louis Mo,",38.64683,-90.23972
1501,ANGELICA ST,1501 ANGELICA ST,"Saint Louis Mo,",38.665632,-90.202949
5135,NORTHLAND,5135 NORTHLAND,"Saint Louis Mo,",38.670221,-90.259934
1305,N SARAH ST,1305 N SARAH ST,"Saint Louis Mo,",38.650997,-90.238572
4230,N FLORISSANT AVE,4230 N FLORISSANT AVE,"Saint Louis Mo,",38.665778,-90.208044
3528,GILES AVE,3528 GILES AVE,"Saint Louis Mo,",38.593382,-90.246171
3642,PENNSYLVANIA AVE,3642 PENNSYLVANIA AVE,"Saint Louis Mo,",38.589781,-90.234258
5320,PAGE BLVD,5320 PAGE BLVD,"Saint Louis Mo,",38.661079,-90.272617
726,CARR ST,726 CARR ST,"Saint Louis Mo,",38.635146,-90.189106
8551,DRURY LN,8551 DRURY LN,"Saint Louis Mo,",38.714442,-90.246188
4225,ENRIGHT AVE,4225 ENRIGHT AVE,"Saint Louis Mo,",38.648022,-90.245396
2930,N 21ST ST,2930 N 21ST ST,"Saint Louis Mo,",38.652517,-90.20311
5974,DRURY LN,5974 DRURY LN,"Saint Louis Mo,",38.71215,-90.246629
