Number,Street,Number Street,City,latitude,longitude
3146,GOODFELLOW BLVD,3146 GOODFELLOW BLVD,"Saint Louis MO,",38.681282,-90.273016
8400,LOWELL LN,8400 LOWELL LN,"Saint Louis MO,",38.71546,-90.228976
8400,LOWELL LN,8400 LOWELL LN,"Saint Louis MO,",38.71546,-90.228976
1101,N VANDEVENTER AVE,1101 N VANDEVENTER AVE,"Saint Louis MO,",38.646952,-90.235304
4183,ENRIGHT AVE,4183 ENRIGHT AVE,"Saint Louis MO,",38.647472,-90.244153
5563,HEBERT ST,5563 HEBERT ST,"Saint Louis MO,",38.680932,-90.266499
2117,BREMEN AVE,2117 BREMEN AVE,"Saint Louis MO,",38.661797,-90.205614
731,DODDRIDGE ST,731 DODDRIDGE ST,"Saint Louis MO,",38.717341,-90.229001
5502,GENEVIEVE AVE,5502 GENEVIEVE AVE,"Saint Louis MO,",38.699055,-90.245281
5237,ST LOUIS AVE,5237 ST LOUIS AVE,"Saint Louis MO,",38.673786,-90.260401
3623,N NEWSTEAD AVE,3623 N NEWSTEAD AVE,"Saint Louis MO,",38.669373,-90.236895
3623,N NEWSTEAD AVE,3623 N NEWSTEAD AVE,"Saint Louis MO,",38.669373,-90.236895
3845,GREER AVE,3845 GREER AVE,"Saint Louis MO,",38.659477,-90.224058
3949,FAIRVIEW AVE,3949 FAIRVIEW AVE,"Saint Louis MO,",38.595438,-90.2522
3837,SULLIVAN AVE,3837 SULLIVAN AVE,"Saint Louis MO,",38.660234,-90.223297
4310,CHIPPEWA ST,4310 CHIPPEWA ST,"Saint Louis MO,",38.590408,-90.264755
3721,N MARKET ST,3721 N MARKET ST,"Saint Louis MO,",38.652286,-90.225979
3900,N KINGSHIGHWAY BLVD,3900 N KINGSHIGHWAY BLVD,"Saint Louis MO,",38.677415,-90.25079
4523,MARGARETTA AVE,4523 MARGARETTA AVE,"Saint Louis MO,",38.680619,-90.254507
8737,N BROADWAY,8737 N BROADWAY,"Saint Louis MO,",38.721538,-90.228872
8737,N BROADWAY,8737 N BROADWAY,"Saint Louis MO,",38.721538,-90.228872
5942,HIGHLAND AVE,5942 HIGHLAND AVE,"Saint Louis MO,",38.67761,-90.280672
1278,HODIAMONT AVE,1278 HODIAMONT AVE,"Saint Louis MO,",38.669292,-90.2894
4837,NORTHLAND AVE,4837 NORTHLAND AVE,"Saint Louis MO,",38.667408,-90.252657
4837,NORTHLAND AVE,4837 NORTHLAND AVE,"Saint Louis MO,",38.667408,-90.252657
4212,W LEXINGTON AVE,4212 W LEXINGTON AVE,"Saint Louis MO,",38.667001,-90.233411
2006,SALISBURY ST,2006 SALISBURY ST,"Saint Louis MO,",38.660023,-90.202773
1951,PRESIDENT ST,1951 PRESIDENT ST,"Saint Louis MO,",38.59038,-90.220803
2922,GEYER AVE,2922 GEYER AVE,"Saint Louis MO,",38.61377,-90.228608
5115,PALM ST,5115 PALM ST,"Saint Louis MO,",38.676705,-90.254856
6032,SUBURBAN AVE,6032 SUBURBAN AVE,"Saint Louis MO,",38.664326,-90.291759
2234,BENTON ST,2234 BENTON ST,"Saint Louis MO,",38.649015,-90.206964
2525,SEMPLE AVE,2525 SEMPLE AVE,"Saint Louis MO,",38.672253,-90.268973
3801,SULLIVAN AVE,3801 SULLIVAN AVE,"Saint Louis MO,",38.659897,-90.222545
5020,MINERVA,5020 MINERVA,"Saint Louis MO,",38.66083,-90.262955
5206,SAINT LOUIS AVE,5206 SAINT LOUIS AVE,"Saint Louis MO,",38.673244,-90.259582
4335,N NEWSTEAD AVE,4335 N NEWSTEAD AVE,"Saint Louis MO,",38.677111,-90.23123
1325,N GARRISON AVE,1325 N GARRISON AVE,"Saint Louis MO,",38.638047,-90.220928
5815,LOTUS AVE,5815 LOTUS AVE,"Saint Louis MO,",38.674732,-90.278292
3543,BINGHAM AVE,3543 BINGHAM AVE,"Saint Louis MO,",38.579275,-90.244436
3899,NATURAL BRIDGE AVE,3899 NATURAL BRIDGE AVE,"Saint Louis MO,",38.676299,-90.25172
4102,WARNE AVE,4102 WARNE AVE,"Saint Louis MO,",38.668293,-90.221831
1547,SOUTH 7TH ST,1547 SOUTH 7TH ST,"Saint Louis MO,",38.612102,-90.197934
500,N 13TH ST,500 N 13TH ST,"Saint Louis MO,",38.638782,-90.194366
4520,N EUCLID AVE,4520 N EUCLID AVE,"Saint Louis MO,",38.685027,-90.242023
3645,FINNEY AVE,3645 FINNEY AVE,"Saint Louis MO,",38.644648,-90.230187
5420,RUSKIN AVE,5420 RUSKIN AVE,"Saint Louis MO,",38.69223,-90.239902
5420,RUSKIN AVE,5420 RUSKIN AVE,"Saint Louis MO,",38.69223,-90.239902
4213,N NEWSTEAD AVE,4213 N NEWSTEAD AVE,"Saint Louis MO,",38.675551,-90.232338
3026,WHITTIER ST,3026 WHITTIER ST,"Saint Louis MO,",38.655713,-90.237331
2129,E COLLEGE AVE,2129 E COLLEGE AVE,"Saint Louis MO,",38.6744015,-90.2152852
3007,N NEWSTEAD AVE,3007 N NEWSTEAD AVE,"Saint Louis MO,",38.665275,-90.239795
1402,GRANVILLE PL,1402 GRANVILLE PL,"Saint Louis MO,",38.666259,-90.274969
1402,GRANVILLE PL,1402 GRANVILLE PL,"Saint Louis MO,",38.666259,-90.274969
3916,FLORISSANT,3916 FLORISSANT,"Saint Louis MO,",38.789217,-90.322614
5607,MARTIN LUTHER KING,5607 MARTIN LUTHER KING,"Saint Louis MO,",38.670439,-90.275746
2531,SEMPLE AVE,2531 SEMPLE AVE,"Saint Louis MO,",38.672298,-90.268942
5920,ERA AVE,5920 ERA AVE,"Saint Louis MO,",38.71337,-90.252257
4100,BINGHAM AVE,4100 BINGHAM AVE,"Saint Louis MO,",38.58707,-90.259957
4102,NEBRASKA AVE,4102 NEBRASKA AVE,"Saint Louis MO,",38.581429,-90.234807
4748,GREER AVE,4748 GREER AVE,"Saint Louis MO,",38.670023,-90.248532
2545,SEMPLE AVE,2545 SEMPLE AVE,"Saint Louis MO,",38.672402,-90.26887
4600,ROSALIE ST,4600 ROSALIE ST,"Saint Louis MO,",38.683522,-90.23103
4528,LABADIE AVE,4528 LABADIE AVE,"Saint Louis MO,",38.666649,-90.24361
4422,MAFFITT AVE,4422 MAFFITT AVE,"Saint Louis MO,",38.663566,-90.242096
2718,BLAIR AVE,2718 BLAIR AVE,"Saint Louis MO,",38.650363,-90.198451
6039,SHULTE AVE,6039 SHULTE AVE,"Saint Louis MO,",38.707424,-90.253551
6039,SHULTE AVE,6039 SHULTE AVE,"Saint Louis MO,",38.707424,-90.253551
2834,N 21ST ST,2834 N 21ST ST,"Saint Louis MO,",38.651745,-90.203374
785,AUBERT AVE,785 AUBERT AVE,"Saint Louis MO,",38.653116,-90.261857
2503,N TAYLOR AVE,2503 N TAYLOR AVE,"Saint Louis MO,",38.661915,-90.245266
4234,N 20TH ST,4234 N 20TH ST,"Saint Louis MO,",38.66664,-90.206041
311,EICHELBERGER ST,311 EICHELBERGER ST,"Saint Louis MO,",38.565743,-90.242358
2048,E OBEAR AVE,2048 E OBEAR AVE,"Saint Louis MO,",38.6704898,-90.2106545
7600,S BROADWAY,7600 S BROADWAY,"Saint Louis MO,",38.547285,-90.25793
4739,GOODFELLOW BLVD,4739 GOODFELLOW BLVD,"Saint Louis MO,",38.69844,-90.265732
3617,MARINE AVE,3617 MARINE AVE,"Saint Louis MO,",38.588519,-90.220214
3310,TEXAS AVE,3310 TEXAS AVE,"Saint Louis MO,",38.594918,-90.226211
1246,EUCLID,1246 EUCLID,"Saint Louis MO,",38.658785,-90.259163
8455,NEWBY ST,8455 NEWBY ST,"Saint Louis MO,",38.715041,-90.235032
1481,SHAWMUT PL,1481 SHAWMUT PL,"Saint Louis MO,",38.671024,-90.278821
6015,SUBURBAN AVE,6015 SUBURBAN AVE,"Saint Louis MO,",38.664422,-90.291429
8901,RIVERVIEW BLVD,8901 RIVERVIEW BLVD,"Saint Louis MO,",38.719875,-90.240853
49,COTE BRILLIANTE AVE,49 COTE BRILLIANTE AVE,"Saint Louis MO,",38.653239,-90.233248
8959,NEWBY ST,8959 NEWBY ST,"Saint Louis MO,",38.720604,-90.23522
6033,EMMA AVE,6033 EMMA AVE,"Saint Louis MO,",38.705824,-90.254549
5051,ARLINGTON AVE,5051 ARLINGTON AVE,"Saint Louis MO,",38.692043,-90.24859
4451,LABADIE AVE,4451 LABADIE AVE,"Saint Louis MO,",38.665807,-90.241232
133,E KRAUSS ST,133 E KRAUSS ST,"Saint Louis MO,",38.553123,-90.251088
4131,S GRAND BLVD,4131 S GRAND BLVD,"Saint Louis MO,",38.58198,-90.244487
3416,DUNNICA AVE,3416 DUNNICA AVE,"Saint Louis MO,",38.586903,-90.241299
854,CANAAN AVE,854 CANAAN AVE,"Saint Louis MO,",38.720782,-90.235082
2709,MARCUS AVE,2709 MARCUS AVE,"Saint Louis MO,",38.666062,-90.249406
3601,LOUGHBOROUGH AVE,3601 LOUGHBOROUGH AVE,"Saint Louis MO,",38.558479,-90.262409
4145,SHREVE AVE,4145 SHREVE AVE,"Saint Louis MO,",38.678603,-90.242407
4660,COTTAGE,4660 COTTAGE,"Saint Louis MO,",38.664456,-90.24931
4660,COTTAGE,4660 COTTAGE,"Saint Louis MO,",38.664456,-90.24931
4133,MINNESOTA AVE,4133 MINNESOTA AVE,"Saint Louis MO,",38.581285,-90.237373
4133,MINNESOTA AVE,4133 MINNESOTA AVE,"Saint Louis MO,",38.581285,-90.237373
4410,SEXAUER AVE,4410 SEXAUER AVE,"Saint Louis MO,",38.681377,-90.238638
8029,FREDERICK ST,8029 FREDERICK ST,"Saint Louis MO,",38.709099,-90.232892
1966,E WARNE AVE,1966 E WARNE AVE,"Saint Louis MO,",38.675941,-90.215273
2019,S JEFFERSON AVE,2019 S JEFFERSON AVE,"Saint Louis MO,",38.611811,-90.221692
4718,S GRAND BLVD,4718 S GRAND BLVD,"Saint Louis MO,",38.627816,-90.23616
4718,S GRAND BLVD,4718 S GRAND BLVD,"Saint Louis MO,",38.627816,-90.23616
4115,W PENROSE ST,4115 W PENROSE ST,"Saint Louis MO,",38.671419,-90.2230419
3846,SAINT LOUIS AVE,3846 SAINT LOUIS AVE,"Saint Louis MO,",38.651644,-90.196495
1305,GOODFELLOW BLVD,1305 GOODFELLOW BLVD,"Saint Louis MO,",38.66704,-90.283141
1804,N LEFFINGWELL AVE,1804 N LEFFINGWELL AVE,"Saint Louis MO,",38.648731,-90.215239
1911,GOODFELLOW BLVD,1911 GOODFELLOW BLVD,"Saint Louis MO,",38.67392,-90.278242
1911,GOODFELLOW BLVD,1911 GOODFELLOW BLVD,"Saint Louis MO,",38.67392,-90.278242
5971,GOODFELLOW BLVD,5971 GOODFELLOW BLVD,"Saint Louis MO,",38.715301,-90.253618
2612,UNION BLVD,2612 UNION BLVD,"Saint Louis MO,",38.671053,-90.26386
4470,TAFT AVE,4470 TAFT AVE,"Saint Louis MO,",38.587595,-90.270038
4470,TAFT AVE,4470 TAFT AVE,"Saint Louis MO,",38.587595,-90.270038
3618,COOK AVE,3618 COOK AVE,"Saint Louis MO,",38.652165,-90.244752
1241,WALTON,1241 WALTON,"Saint Louis MO,",38.657951,-90.256529
1241,WALTON,1241 WALTON,"Saint Louis MO,",38.657951,-90.256529
956,HAMILTON AVE,956 HAMILTON AVE,"Saint Louis MO,",38.660373,-90.289526
2653,CALIFORNIA AVE,2653 CALIFORNIA AVE,"Saint Louis MO,",38.604937,-90.227815
2653,CALIFORNIA AVE,2653 CALIFORNIA AVE,"Saint Louis MO,",38.604937,-90.227815
3620,N GRAND BLVD,3620 N GRAND BLVD,"Saint Louis MO,",38.660322,-90.217178
5252,THRUSH AVE,5252 THRUSH AVE,"Saint Louis MO,",38.697391,-90.250316
4613,N MARKET ST,4613 N MARKET ST,"Saint Louis MO,",38.662445,-90.248969
3714,HEBERT ST,3714 HEBERT ST,"Saint Louis MO,",38.660099,-90.220299
1476,HICKORY LN,1476 HICKORY LN,"Saint Louis MO,",38.617476,-90.206821
3212,BARRETT ST,3212 BARRETT ST,"Saint Louis MO,",38.661662,-90.213682
4902,EMERSON AVE,4902 EMERSON AVE,"Saint Louis MO,",38.691228,-90.251678
5979,RIVERVIEW BLVD,5979 RIVERVIEW BLVD,"Saint Louis MO,",38.711812,-90.24468
4038,N GRAND BLVD,4038 N GRAND BLVD,"Saint Louis MO,",38.663886,-90.214679
732,THRUSH,732 THRUSH,"Saint Louis MO,",38.709721,-90.228979
3101,N 20TH ST,3101 N 20TH ST,"Saint Louis MO,",38.654173,-90.201922
2931,N NEWSTEAD AVE,2931 N NEWSTEAD AVE,"Saint Louis MO,",38.664545,-90.240319
5120,LABADIE AVE,5120 LABADIE AVE,"Saint Louis MO,",38.673285,-90.257269
3509,ILLINOIS AVE,3509 ILLINOIS AVE,"Saint Louis MO,",38.590825,-90.222557
3745,ST LOUIS AVE,3745 ST LOUIS AVE,"Saint Louis MO,",38.656454,-90.2241
5939,GOODFELLOW BLVD,5939 GOODFELLOW BLVD,"Saint Louis MO,",38.714575,-90.254046
5939,GOODFELLOW BLVD,5939 GOODFELLOW BLVD,"Saint Louis MO,",38.714575,-90.254046
3715,LINCOLN AVE,3715 LINCOLN AVE,"Saint Louis MO,",38.654365,-90.224419
5059,ALCOTT AVE,5059 ALCOTT AVE,"Saint Louis MO,",38.693573,-90.249782
