Address,City,Latitude,Longitude,content
"1120	HOWARD ST	","Saint Louis Mo,"," 	38.642983",-90.191303,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"4246	GANO AVE	","Saint Louis Mo,"," 	38.668617",-90.215135,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"4246	GANO AVE	","Saint Louis Mo,"," 	38.668617",-90.215135,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"4145	N GRAND BLVD	","Saint Louis Mo,"," 	38.66624",-90.213446,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"3507	DODIER ST	","Saint Louis Mo,"," 	38.656532",-90.219325,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"5546	RIVERVIEW BLVD	","Saint Louis Mo,"," 	38.705346",-90.250798,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"5727	ERA AVE	","Saint Louis Mo,"," 	38.710251",-90.254788,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"1923	PRAIRIE AVE	","Saint Louis Mo,"," 	38.652207",-90.22797,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"4744	NORTHLAND AVE	","Saint Louis Mo,"," 	38.666302",-90.250633,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"2329	ANN AVE	","Saint Louis Mo,"," 	38.609913",-90.221131,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"1408	ACADEMY AVE	","Saint Louis Mo,"," 	38.662599",-90.265417,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"1211	N 7TH ST	","Saint Louis Mo,"," 	38.636329",-90.188572,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"3520	NATURAL BRIDGE AVE	","Saint Louis Mo,"," 	38.676299",-90.25172,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"5211	N EUCLID AVE	","Saint Louis Mo,"," 	38.686205",-90.240248,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"1449	ARLINGTON AVE	","Saint Louis Mo,"," 	38.665923",-90.271738,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"4028	N 23RD ST	","Saint Louis Mo,"," 	38.662546",-90.20904,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"3171	MINNESOTA AVE	","Saint Louis Mo,"," 	38.599125",-90.233685,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"1515	N KINGSHIGHWAY BLVD	","Saint Louis Mo,"," 	38.663267",-90.261461,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"5133	CATES AVE	","Saint Louis Mo,"," 	38.655659",-90.267717,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"3921	N 25TH ST	","Saint Louis Mo,"," 	38.660822",-90.209658,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"3921	N 25TH ST	","Saint Louis Mo,"," 	38.660822",-90.209658,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"3921	N 25TH ST	","Saint Louis Mo,"," 	38.660822",-90.209658,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"4924	THEODORE AVE	","Saint Louis Mo,"," 	38.686629",-90.241012,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"3451	TEXAS AVE	","Saint Louis Mo,"," 	38.592468",-90.22695,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"1456	BELT AVE	","Saint Louis Mo,"," 	38.667237",-90.273035,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"5143	NORTHLAND AVE	","Saint Louis Mo,"," 	38.670293",-90.2601,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"4447	CATHERINE PL	","Saint Louis Mo,"," 	38.681737",-90.231804,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"5116	PAGE BLVD	","Saint Louis Mo,"," 	38.660215",-90.266259,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"5151	RIVERVIEW BLVD	","Saint Louis Mo,"," 	38.701325",-90.2565,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"5043	CLAXTON AVE	","Saint Louis Mo,"," 	38.691721",-90.247187,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"5126	RIDGE AVE	","Saint Louis Mo,"," 	38.662456",-90.266383,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"4500	W FLORISSANT AVE	","Saint Louis Mo,"," 	38.68248",-90.226668,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"100	WASHINGTON AVE	","Saint Louis Mo,"," 	38.640938",-90.235103,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"100	WASHINGTON AVE	","Saint Louis Mo,"," 	38.640938",-90.235103,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"5226	LOUISIANA AVE	","Saint Louis Mo,"," 	38.570141",-90.249804,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"6034	LUCILLE AVE	","Saint Louis Mo,"," 	38.704935",-90.255251,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"5900	WELLS AVE	","Saint Louis Mo,"," 	38.672348",-90.283447,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"5253	EMERSON AVE	","Saint Louis Mo,"," 	38.694324",-90.24638,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"9143	EDNA ST	","Saint Louis Mo,"," 	38.724303",-90.237129,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"9143	EDNA ST	","Saint Louis Mo,"," 	38.724303",-90.237129,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"5728	WABADA AVE	","Saint Louis Mo,"," 	38.674725",-90.275657,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"2712	HOWARD ST	","Saint Louis Mo,"," 	38.646517",-90.214503,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"5566	VERNON AVE	","Saint Louis Mo,"," 	38.659466",-90.28124,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"4381	CHIPPEWA ST	","Saint Louis Mo,"," 	38.590744",-90.266276,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"3938	BOTANICAL AVE	","Saint Louis Mo,"," 	38.609237",-90.247328,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"4004	LABADIE AVE	","Saint Louis Mo,"," 	38.660099",-90.22863,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"1368	BURD AVE	","Saint Louis Mo,"," 	38.666156",-90.276237,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"4130	GROVE ST	","Saint Louis Mo,"," 	38.664335",-90.210579,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"1521	E JOHN AVE	","Saint Louis Mo,"," 	38.67292",-90.208149,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"3842	LEE AVE	","Saint Louis Mo,"," 	38.677389",-90.240247,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"3035	JAMES COOL PAPA BELL	","Saint Louis Mo,"," 	38.642967",-90.221099,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"710	DODDRIDGE ST	","Saint Louis Mo,"," 	38.717533",-90.228266,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"8233	CHURCH RD	","Saint Louis Mo,"," 	38.712211",-90.232681,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"625	FILLMORE ST	","Saint Louis Mo,"," 	38.5621",-90.250814,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"1822	N GRAND BLVD	","Saint Louis Mo,"," 	38.650256",-90.224404,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"2920	KEOKUK ST	","Saint Louis Mo,"," 	38.585134",-90.23448,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"3117	IOWA AVE	","Saint Louis Mo,"," 	38.599298",-90.227803,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"4026	DRYDEN AVE	","Saint Louis Mo,"," 	38.674381",-90.23906,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"5031	ARLINGTON AVE	","Saint Louis Mo,"," 	38.691938",-90.248783,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"4026	S COMPTON AVE	","Saint Louis Mo,"," 	38.58341",-90.239067,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"3917	LOUISIANA AVE	","Saint Louis Mo,"," 	38.585483",-90.241209,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"4218	FAIR AVE	","Saint Louis Mo,"," 	38.672353",-90.224505,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"947	BEACH AVE	","Saint Louis Mo,"," 	38.660348",-90.290994,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"3720	FRENCH AVE	","Saint Louis Mo,"," 	38.559295",-90.266313,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"3127	BRANTNER PL	","Saint Louis Mo,"," 	38.645495",-90.223295,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"3546	GRAVOIS AVE	","Saint Louis Mo,"," 	38.592974",-90.242964,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"1621	MCLARAN AVE	","Saint Louis Mo,"," 	38.716954",-90.244417,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"5956	ERA AVE	","Saint Louis Mo,"," 	38.71385",-90.251908,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"2219	ARSENAL ST	","Saint Louis Mo,"," 	38.598504",-90.222512,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"5335	RUSKIN AVE	","Saint Louis Mo,"," 	38.691044",-90.242425,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"434	CHRISTIAN AVE	","Saint Louis Mo,"," 	38.707577",-90.229635,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"3949	COTE BRILLIANTE AVE	","Saint Louis Mo,"," 	38.65278",-90.231994,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"3635	ALBERTA ST	","Saint Louis Mo,"," 	38.585487",-90.246496,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"2800	N GARRISON AVE	","Saint Louis Mo,"," 	38.654185",-90.219002,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"6016	GRIMSHAW AVE	","Saint Louis Mo,"," 	38.689667",-90.274317,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"1508	LASALLE LN	","Saint Louis Mo,"," 	38.618611",-90.207228,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"1210	S 6TH ST	","Saint Louis Mo,"," 	38.614817",-90.195418,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"1721	BELLE GLADE AVE	","Saint Louis Mo,"," 	38.65443",-90.236958,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"4105	N 20TH ST	","Saint Louis Mo,"," 	38.664909",-90.205333,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"4813	N 20TH ST	","Saint Louis Mo,"," 	38.672341",-90.210281,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"6032	BARTMER AVE	","Saint Louis Mo,"," 	38.663548",-90.292471,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"4813	N 20TH ST	","Saint Louis Mo,"," 	38.672341",-90.210281,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"5038	THEKLA AVE	","Saint Louis Mo,"," 	38.689236",-90.242438,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"5722	PAMPLIN PL	","Saint Louis Mo,"," 	38.70927",-90.252915,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"1601	S SPRING AVE	","Saint Louis Mo,"," 	38.619146",-90.242165,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"5001	PAGE BLVD	","Saint Louis Mo,"," 	38.659976",-90.262232,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"2815	GAMBLE ST	","Saint Louis Mo,"," 	38.641323",-90.216211,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"3447	UNION BLVD	","Saint Louis Mo,"," 	38.678514",-90.258884,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"4049	WEST PINE BLVD	","Saint Louis Mo,"," 	38.638514",-90.245911,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"1602	ACADEMY AVE	","Saint Louis Mo,"," 	38.66603",-90.264591,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
