Number,Street,Address,City,Latitude,Longitude
5501,NATURAL BRIDGE AVE,5501 NATURAL BRIDGE AVE,"Saint Louis MO,",38.681784,-90.263852
5382,SAINT LOUIS AVE,5382 SAINT LOUIS AVE,"Saint Louis MO,",38.675334,-90.264331
443,MEMORIAL DR,443 MEMORIAL DR,"Saint Louis MO,",38.61021,-90.208155
3931,SHREVE AVE,3931 SHREVE AVE,"Saint Louis MO,",38.675581,-90.244546
1103,MCLARAN AVE,1103 MCLARAN AVE,"Saint Louis MO,",38.715514,-90.235034
3718,COTE BRILLIANTE AV,3718 COTE BRILLIANTE AV,"Saint Louis MO,",38.650641,-90.227162
8606,PARK LN,8606 PARK LN,"Saint Louis MO,",38.716083,-90.246895
3916,N FLORISSANT AVE,3916 N FLORISSANT AVE,"Saint Louis MO,",38.662067,-90.206213
4738,COTE BRILLIANTE AV,4738 COTE BRILLIANTE AV,"Saint Louis MO,",38.661733,-90.253726
3542,OREGON AVE,3542 OREGON AVE,"Saint Louis MO,",38.591393,-90.231596
5035,DURANT AVE,5035 DURANT AVE,"Saint Louis MO,",38.688369,-90.245527
8410,HALLS FERRY RD,8410 HALLS FERRY RD,"Saint Louis MO,",38.714152,-90.23199
7512,VERMONT AVE,7512 VERMONT AVE,"Saint Louis MO,",38.551008,-90.262064
3815,LABADIE AVE,3815 LABADIE AVE,"Saint Louis MO,",38.658314,-90.224067
1817,MCLARAN AVE,1817 MCLARAN AVE,"Saint Louis MO,",38.718539,-90.25032
1817,MCLARAN AVE,1817 MCLARAN AVE,"Saint Louis MO,",38.718539,-90.25032
5212,BLAIR AVE,5212 BLAIR AVE,"Saint Louis MO,",38.676206,-90.210705
4240,CALIFORNIA AVE,4240 CALIFORNIA AVE,"Saint Louis MO,",38.578638,-90.233047
713,BITTNER ST,713 BITTNER ST,"Saint Louis MO,",38.710957,-90.228764
2815,SIDNEY ST,2815 SIDNEY ST,"Saint Louis MO,",38.606532,-90.228126
5650,MINERVA AVE,5650 MINERVA AVE,"Saint Louis MO,",38.666895,-90.280018
3025,GOODFELLOW BLVD,3025 GOODFELLOW BLVD,"Saint Louis MO,",38.680437,-90.273829
1404,UNION BLVD,1404 UNION BLVD,"Saint Louis MO,",38.663476,-90.26964
1404,UNION BLVD,1404 UNION BLVD,"Saint Louis MO,",38.663476,-90.26964
1141,AUBERT AVE,1141 AUBERT AVE,"Saint Louis MO,",38.656823,-90.261019
1901,N TAYLOR AVE,1901 N TAYLOR AVE,"Saint Louis MO,",38.660333,-90.246391
1901,N TAYLOR AVE,1901 N TAYLOR AVE,"Saint Louis MO,",38.660333,-90.246391
