Number,Street,Address,City,latitude,longitude
1395,HAMILTON AVE,1395 HAMILTON AVE,"Saint Louis MO,",38.670917,-90.284414
3734,ROSWELL AVE,3734 ROSWELL AVE,"Saint Louis MO,",38.558056,-90.26788
1500,LEWIS ST,1500 LEWIS ST,"Saint Louis MO,",38.639866,-90.181995
5629,SAINT LOUIS AVE,5629 SAINT LOUIS AVE,"Saint Louis MO,",38.678506,-90.270221
3142,ARSENAL ST,3142 ARSENAL ST,"Saint Louis MO,",38.601633,-90.234651
2310,S JEFFERSON AVE,2310 S JEFFERSON AVE,"Saint Louis MO,",38.607416,-90.222395
1422,VERONICA AVE,1422 VERONICA AVE,"Saint Louis MO,",38.717929,-90.239511
1422,VERONICA AVE,1422 VERONICA AVE,"Saint Louis MO,",38.717929,-90.239511
2300,ANGELICA ST,2300 ANGELICA ST,"Saint Louis MO,",38.66325,-90.209663
5014,IDAHO AVE,5014 IDAHO AVE,"Saint Louis MO,",38.570499,-90.246523
1452,CASTLE,1452 CASTLE,"Saint Louis MO,",38.451903,-90.423452
8517,BROADWAY,8517 BROADWAY,"Saint Louis MO,",38.543108,-90.262614
4246,WARNE AVE,4246 WARNE AVE,"Saint Louis MO,",38.671095,-90.219879
2053,E DE SOTO AVE,2053 E DE SOTO AVE,"Saint Louis MO,",38.673409,-90.213379
1123,S 14TH ST,1123 S 14TH ST,"Saint Louis MO,",38.617868,-90.20522
1916,SIDNEY ST,1916 SIDNEY ST,"Saint Louis MO,",38.60311,-90.216102
906,RIVERVIEW BLVD,906 RIVERVIEW BLVD,"Saint Louis MO,",38.725117,-90.23123
1384,SEMPLE AVE,1384 SEMPLE AVE,"Saint Louis MO,",38.664736,-90.273604
5130,WABADA AVE,5130 WABADA AVE,"Saint Louis MO,",38.668597,-90.261885
1411,WALTON AVE,1411 WALTON AVE,"Saint Louis MO,",38.660261,-90.256119
6824,MICHIGAN AVE,6824 MICHIGAN AVE,"Saint Louis MO,",38.554835,-90.254381
4817,BESSIE AVE,4817 BESSIE AVE,"Saint Louis MO,",38.680225,-90.241939
5361,CLAXTON AVE,5361 CLAXTON AVE,"Saint Louis MO,",38.693595,-90.243747
9100,RIVERVIEW DR,9100 RIVERVIEW DR,"Saint Louis MO,",38.728636,-90.221652
5750,NATURAL BRDG,5750 NATURAL BRDG,"Saint Louis MO,",38.685497,-90.271063
3100,N GARRISON AVE,3100 N GARRISON AVE,"Saint Louis MO,",38.657516,-90.216614
2009,HEBERT ST,2009 HEBERT ST,"Saint Louis MO,",38.654935,-90.201944
8850,LOWELL ST,8850 LOWELL ST,"Saint Louis MO,",38.724534,-90.226966
3512,N VANDEVENTER AVE,3512 N VANDEVENTER AVE,"Saint Louis MO,",38.661712,-90.224008
3108,ROLLA PL,3108 ROLLA PL,"Saint Louis MO,",38.663445,-90.232079
1417,GLASGOW AVE,1417 GLASGOW AVE,"Saint Louis MO,",38.644993,-90.217732
5019,RIDGE AVE,5019 RIDGE AVE,"Saint Louis MO,",38.661786,-90.262684
5738,WOODLAND AVE,5738 WOODLAND AVE,"Saint Louis MO,",38.696705,-90.257543
1127,S 14TH ST,1127 S 14TH ST,"Saint Louis MO,",38.617849,-90.205227
2801,CHARITON ST,2801 CHARITON ST,"Saint Louis MO,",38.57783,-90.233473
5474,GENEVIEVE AVE,5474 GENEVIEVE AVE,"Saint Louis MO,",38.698609,-90.246116
3800,SULLIVAN AVE,3800 SULLIVAN AVE,"Saint Louis MO,",38.659754,-90.222649
1600,GOODFELLOW BLVD,1600 GOODFELLOW BLVD,"Saint Louis MO,",38.672933,-90.278675
4530,MARGARETTA AVE,4530 MARGARETTA AVE,"Saint Louis MO,",38.680619,-90.254507
5719,PAMPLIN AVE,5719 PAMPLIN AVE,"Saint Louis MO,",38.710356,-90.252216
5719,PAMPLIN AVE,5719 PAMPLIN AVE,"Saint Louis MO,",38.710356,-90.252216
5719,PAMPLIN AVE,5719 PAMPLIN AVE,"Saint Louis MO,",38.710356,-90.252216
4244,CALIFORNIA AVE,4244 CALIFORNIA AVE,"Saint Louis MO,",38.578582,-90.233058
4563,MCMILLAN AVE,4563 MCMILLAN AVE,"Saint Louis MO,",38.653874,-90.254616
3115,CHEROKEE ST,3115 CHEROKEE ST,"Saint Louis MO,",38.594565,-90.235112
3524,N KINGSHIGHWAY BLVD,3524 N KINGSHIGHWAY BLVD,"Saint Louis MO,",38.675625,-90.252075
4912,W FLORISSANT AVE,4912 W FLORISSANT AVE,"Saint Louis MO,",38.689649,-90.234796
2024,E OBEAR AVE,2024 E OBEAR AVE,"Saint Louis MO,",38.6707041,-90.210252
3846,LINCOLN,3846 LINCOLN,"Saint Louis MO,",38.655333,-90.227054
4031,PECK ST,4031 PECK ST,"Saint Louis MO,",38.663765,-90.213693
4206,W KENNERLY AVE,4206 W KENNERLY AVE,"Saint Louis MO,",38.6600406,-90.2370928
1445,S 18TH ST,1445 S 18TH ST,"Saint Louis MO,",38.616065,-90.211449
3618,PENNSYLVANIA AVE,3618 PENNSYLVANIA AVE,"Saint Louis MO,",38.590113,-90.234192
0,OFALLON PARK,0 OFALLON PARK,"Saint Louis MO,",38.7990444,-90.7473245
8551,N BROADWAY,8551 N BROADWAY,"Saint Louis MO,",38.718517,-90.229376
1600,S BROADWAY,1600 S BROADWAY,"Saint Louis MO,",38.609823,-90.198567
2838,MAGNOLIA AVE,2838 MAGNOLIA AVE,"Saint Louis MO,",38.604119,-90.229345
2838,MAGNOLIA AVE,2838 MAGNOLIA AVE,"Saint Louis MO,",38.604119,-90.229345
5621,MAPLE AVE,5621 MAPLE AVE,"Saint Louis MO,",38.660599,-90.28185
5621,MAPLE AVE,5621 MAPLE AVE,"Saint Louis MO,",38.660599,-90.28185
2701,FALL AVE,2701 FALL AVE,"Saint Louis MO,",38.654576,-90.222801
2701,FALL AVE,2701 FALL AVE,"Saint Louis MO,",38.654576,-90.222801
5446,RIDGE AVE,5446 RIDGE AVE,"Saint Louis MO,",38.665258,-90.273659
5425,RIVERVIEW BLVD,5425 RIVERVIEW BLVD,"Saint Louis MO,",38.703968,-90.252427
3434,CALIFORNIA AVE,3434 CALIFORNIA AVE,"Saint Louis MO,",38.592991,-90.230077
2915,N JEFFERSON AVE,2915 N JEFFERSON AVE,"Saint Louis MO,",38.654642,-90.213054
5915,WILSON AVE,5915 WILSON AVE,"Saint Louis MO,",38.617562,-90.286123
5578,CLEMENS AVE,5578 CLEMENS AVE,"Saint Louis MO,",38.655922,-90.281082
1341,MONTCLAIR AVE,1341 MONTCLAIR AVE,"Saint Louis MO,",38.665503,-90.278178
3858,ASHLAND AVE,3858 ASHLAND AVE,"Saint Louis MO,",38.661111,-90.223272
8517,BROADWAY,8517 BROADWAY,"Saint Louis MO,",38.543108,-90.262614
100,ELWOOD,100 ELWOOD,"Saint Louis MO,",38.559562,-90.244029
8039,CHURCH RD,8039 CHURCH RD,"Saint Louis MO,",38.709075,-90.23173
5150,DR MARTIN LUTHER KIN,5150 DR MARTIN LUTHER KIN,"Saint Louis MO,",38.66477,-90.266627
4445,CATHERINE PL,4445 CATHERINE PL,"Saint Louis MO,",38.68174,-90.231781
2728,CHEROKEE ST,2728 CHEROKEE ST,"Saint Louis MO,",38.593638,-90.229044
4052,SAINT LOUIS AVE,4052 SAINT LOUIS AVE,"Saint Louis MO,",38.651644,-90.196495
3124,N GRAND BLVD,3124 N GRAND BLVD,"Saint Louis MO,",38.65841,-90.218554
2501,N GRAND BLVD,2501 N GRAND BLVD,"Saint Louis MO,",38.652595,-90.222986
5102,LOTUS AVE,5102 LOTUS AVE,"Saint Louis MO,",38.667232,-90.261429
5102,LOTUS AVE,5102 LOTUS AVE,"Saint Louis MO,",38.667232,-90.261429
3447,TENNESSEE AVE,3447 TENNESSEE AVE,"Saint Louis MO,",38.59419,-90.240587
996,RIVERVIEW BLVD,996 RIVERVIEW BLVD,"Saint Louis MO,",38.694601,-90.261454
1312,N 10TH ST,1312 N 10TH ST,"Saint Louis MO,",38.652892,-90.193388
5400,RIVERVIEW BLVD,5400 RIVERVIEW BLVD,"Saint Louis MO,",38.703539,-90.252588
5400,RIVERVIEW BLVD,5400 RIVERVIEW BLVD,"Saint Louis MO,",38.703539,-90.252588
